Star Rating,Review Title,Review Description
5.0 out of 5 stars,Perfect stand for old flat screen in patio or garage.,"This is an ideal stand for patios. If you have an old TV, then buy the stand and put it in your garage or patio.Pros- the stand is cheap enough and stable enough to hold a flatscreen TV in your garage patio or even the school.Cons- takes about 20 minutes to set this thing upRead more"
4.0 out of 5 stars,Solid TV Stand — Perfect for Moving Your Screen Anywhere,"I set up the BONTEC Mobile TV Stand in my screened-in patio so I can watch games while lounging in my hot tub, and it works really well. Assembly was straightforward, and the stand feels sturdy and secure. My 32"" TV fits perfectly, and the tilt function lets me angle the screen just right without any fuss.Rolling it around is easy, which is great if I want to shift it for shade or rearrange the patio. The adjustable shelf is handy to hold the contol away from the hot tub.Why Not an A-?The only reason I knocked it down a notch is the cable management. It’s a bit tight, so thicker HDMI or power cables can be a hassle to get organized neatly. Other than that, it does exactly what I need: sturdy, mobile, and perfect for casual patio TV sessions.Read more"
5.0 out of 5 stars,Sturdy and Easy to Assemble,Easy to assemble and very sturdy. This stand is perfect for placing a TV in any room where space is limited. It holds the TV securely while helping save space without sacrificing stability. The design is clean and sleek—not bulky at all—so it doesn’t clash with the room décor. A great solution if you need a flexible and reliable TV setup.Read more
5.0 out of 5 stars,Sturdy,"It is a very nice product, unfortunately one part was just not the right size for my television. Waiting for a response from company, I like it but have not had the chance to fully use it yet due to length of mount piece. Height is good, easy to put together and beautifully crafted. Seems sturdy.Read more"
5.0 out of 5 stars,Nice for the money easy assembly.,Great stand good price point Easy to assemble Just what I needed.Read more
5.0 out of 5 stars,Great product!,This was exactly what I was looking for. Easy set up and works for exactly what I needed!Read more
5.0 out of 5 stars,Great buy,Awesome and fairly easy to assemble. It only took my son- in-law about 15 minutes or so to assemble and get the TV attached to it. It is easy to move around and stable. Cheap price for a well made stand.Read more
5.0 out of 5 stars,I need it every day,"We’ve been using this 32” digital calendar for a few weeks now, and it has completely changed how our family stays organized.1. Large touchscreen & display qualityThe screen is big, bright, and very easy to read from across the room. The full touch screen is responsive and smooth, making it simple for both adults and kids to interact with.2. Extremely practical featuresThe daily planner and to-do list functions are very intuitive. We use it to track school schedules, work meetings, chores, and reminders all in one place. It’s so much better than juggling paper calendars or phone reminders.3. Perfect for family schedulingThis calendar really shines in a family setting. Everyone can quickly see what’s coming up, which avoids confusion and missed appointments. It’s become the central hub for our household planning.4. Clean design & easy wall mountingThe white frame looks modern and blends nicely with our home décor. Wall mounting was straightforward, and once installed it feels sturdy and well-built.Overall, this is a fantastic smart home upgrade for anyone who wants to stay organized. Highly recommended for families or anyone with a busy schedule!Read more"
5.0 out of 5 stars,"one (person) and done in less than an hour. sturdy, convenient.","easy peazy, lemon squeezy. with only me, myself, and I to help, i managed to put this together in about 40 minutes? my 55-incher is sitting securely on it as we speak.it was delivered in a remarkably small and remarkably dense package (but it is full sized after assembly, i assure you).instructions were ample and thorough enough that I only made one mistake during assembly (stacked the poles in the wrong order) but it's easy to spot the mistake before progressing if you are careful and pay attention to the diagram closely.it is incredibly sturdy, easy to roll around, and i love the (admittedly cheap, yet) incredibly useful cable management clips that slot in on the back of the pole. pretty clever.very useful, very affordable. highly recommend..Read more"
4.0 out of 5 stars,"Great value and sturdy, cheaper parts can be swapped if they break.","Sturdy, supports most TV's out of the box, rolls well and the locking mechanisms work but their construction seems cheap and I doubt it'll last.No tilt support, but can be angled left or right. Likely possible to mount a screen in portrait, though the screen size would likely need to be smaller than 42"" for that.All-in-all a solid product that's a steal for the price - and given the rather standard hardware in use, upgrading the casters or modifying the stand is quite simple.Read more"
5.0 out of 5 stars,Great for a workout partner.,"The media could not be loaded.Great product. Wanted something to watch next to my elliptical.  You can install it in about 30 min.  Recommend you use an electric screwdriver first, then tighten the screws with the Allen tool.  Seems very sturdy and hooked up our 43inch TV with no issues.  I wish that the shelf was padded, but that's a little nitpick.Read more"
5.0 out of 5 stars,"The perfect solution for my needs with 55"" TV","This is a great stand. I am using in a Sunroom with a  55"" Hisense 4k TV and it fits the bill perfectly. Well constructed, all metal and substantial frame. The Hisense TV seems to be a little lighter than some of the major brands but it's for occasional use primarily for sports. Having the ability to move the TV around on the wheeled stand really matches my needs and I have no worries that it will tip over. Of course if it does, thats totally on me, not Bontec, they are meeting the needs of the consumer. I purchased this model because it has 3 adjustments, height, swivel left and right as well as a small degree of tilt. Works very well as advertised. I was mildly concerned that a minimum 51"" height was too high but that is not actual height, it is from roughly the middle of the TV, mid-Visa mount. The bottom of the 55"" screen is about 10-12 inches lower so using that, the height from the bottom to the floor is more like 40"", a perfect height for viewing while sitting. I will probably never raise the TV on the stand to max height but could by about another 10"" if needed. Full thumbs up to this Bontec stand.Read more"
5.0 out of 5 stars,"Great product, you should buy for it if you are a beginner","Great product for beginners, you should try it on. I use for it for Moto logging.The quality of this product is so great. Quality is definitely very nice. Voice qualities so perfect for outdoor shoots and comparability with the cameras are great. It’s easy to handle no need of great science to use it. The functionality of the product is simple.Read more"
5.0 out of 5 stars,It is THE MIC that you need for everyday content shooting & Video conference,Best Microphone that I have purchased till date. The noise cancellation feature is really good. It has a classy look and the voice quality is strong. It is compatible with Android as well as iOS. Highly recommended for content creators and people who do virtual meetings almost always. Value for Money!Read more
4.0 out of 5 stars,Good mic but Bad magnet,"Pros - It is a great product in this price range. Audio quality is great, battery life is also good, and it is a good option for beginners.Cons - However, there is 1 big shortcoming that the clip is missing on the mics and only comes with the magnets. The magnet quality is decent, but they are very small, and you may lose them very easily. I already lost 1 magnet on the very first day. And after losing the magnet, it becomes difficult to charge and handle the mic.Read more"
1.0 out of 5 stars,Quality is not good,Very Bad Quality product from hollyland. Noise cancellation is not working properly. Can't record good quality audio.Read more
5.0 out of 5 stars,Purchase it without any hesitation,1st class product. I'm sorry happy 😁Read more
5.0 out of 5 stars,Value for money,Value for money! Good voice quality.Read more
5.0 out of 5 stars,Quality,"Highly recommend this product ,it's really good quality and best for use.Read more"
4.0 out of 5 stars,Noice cancellation works only with settings,Please read this if you have doubts with respect to noice cancellation!When I first got the microphone it was just not working I later found out battery was low after charging also i noticed noice cancellation was not working I complained and even scheduled return just as a last attempt I tried googling in gemini ai I found out my phone was picking internal microphone instead of the mic!!! Later I cancelled the return and kept the mic! There are 4 setting - change the settings to external audio and you will be able to work with the mic.Hollyland please send this in instruction manual all phones by default especially android use internal audio even if we connect the mic.It is compatible with android and worked well. Easy to use but play around with settings first. However noice cancellation can still be better. It's okay okay. You can use reels edits app and use noice cancellation there.Read more
5.0 out of 5 stars,Nice product.,"I specially came to amazon to find this product to write a review for it. Why? By mistake I put one of its mics in washing machine along with one of my shirts, I recalled when I had to start another meeting and it clicked that it's inside the washing machine. I ran and stopped the machine, but it was already 10-15 mins and its was wet.conclusion It was working even thought it was wet without a claimed IP rating however it can also be coincident.Very good audio quality, even when sitting in direction of cooler's throw.I use it for my teams meeting (windows) and its superb. works well with camera as well.Caution Finding, as my core purpose if for calls. I also tried taking normal phone calls with this on phone however that is not supported, you can only use it with apps which allows you to select mics inputs in phone. on PC meetings and WhatsApp call are breeze.  battery is also good. as I usually forget it on my shirt. I have observed it to be operational for continuous 4-5 hrs easily 10:40 to around 3:00 before I switch to other one.Its light and small so I hardly notice anything stuck on my shirt. overall, a very good productRead more"
5.0 out of 5 stars,Good product,"Very good item i used it , but i suggest go for its 11000 mic that is far bettee .I purchased this as i do not use it dailyRead more"
4.0 out of 5 stars,Worth the money i think ( my opinion ),"Its a good product in this price range. The sound quality of the voice output feom the device is pretty good. I got the product well packed, no damage found anywhere. It have a good battery backup. Noice reduction is also good. Better use its app to do all the customisationRead more"
1.0 out of 5 stars,I want replacement,"The media could not be loaded.Hello, I received the microphone , but it is not working.Both transmitters are not turning on. I have tried charging them fully and pressing the power button for several seconds, but there is no light or response.I also tried to use the replacement option in the app, but it is not working / not allowing me to proceed.It seems like a defective product. I would like a replacement.Please arrange a replacement as soon as possible. Thank you.Read more"
5.0 out of 5 stars,"Premium feel , but no charging head inside  , good sound","Charge it first when you receive,  no charging head is included  so i haven to use my phones  charger ,  olug the receiver usbc head to the phone and grab the mic and boom its connected,  if not press the receiver botton for 6 seconds and its done,  premium feel and sound is very clearRead more"
5.0 out of 5 stars,Best in price range,"noise cancelation is very good, easy use and carry. value for money.Read more"
5.0 out of 5 stars,Awesome microphone,"A great product, I am a YouTuber. I am satisfied with the purchase.Read more"
4.0 out of 5 stars,Best with good quality of sound,Good product I am using this on my Iphone 17pro max and it’s working good. Must buy✌🏻Read more
5.0 out of 5 stars,Gereat wireless mic for beginners,"ProsExcellent noise cancellation: Filters out background noise very effectively, keeping the subject’s voice clear and focused.High-quality audio: Clear and natural sound—good for vlogging, interviews, and voice recordings.Strong default gain: The mic gain is set high by default, which works well for outdoor recording or when your subject isn’t very close to the mic.Versatile use cases: Suitable for voiceovers, podcasts, online meetings, online classes, vlogs, interviews, etc.Convenient charging case (if included): Having the case allows you to charge the mics on the go, which is especially helpful for long sessions and outdoor uses.ConsApp-dependent gain control: Mic gain can only be adjusted through the app, which limits control when using the mic with a camera.Battery life: Battery performance is average; longer shoots may require frequent charging.Range limitations: The wireless range is good for typical use, but may not be ideal in large venues or obstructed environments.Magnet mount instead of clip: The transmitter uses a magnet mount rather than a traditional clip, which may not secure well on all clothing types.Read more"
5.0 out of 5 stars,Worth the money,"The media could not be loaded.Worth the money I must say , sound quality is quite crisp, cuts down background really well and super easy to use you can download a app and control a heck lot of things through it , the magnet is super strong , very light weight easy to attach to clothes doesn’t feel bulky(P.S - you will have to buy both the receivers if you use iPhone lighting one doesn’t come singular as usb)Read more"
5.0 out of 5 stars,"Good product, can trust and buy.",The media could not be loaded.Very nice and genuine product I'm writing this review after using it for more than a week. I use it with iPhone and it's super compatible and comfortable during recording videos. The down side it it may not work with all apps you have. But best product for anyone who is looking for a mic with super noise cancelation. Battery life is also really good as I charged it once and it's lasting for a week (based on your usage this may vary). Over all good product but the cost is little at the higher end.Read more
5.0 out of 5 stars,Brilliant mic with great noise cancellation,"Brilliant purchase for regular content creation on my iPhone 17. Works like a charm! Of special mention is the brilliant noise cancellation that cuts out ambient noise beautifully well. Please make sure you purchase ONLY the USB-C variant as that would save you a lot of money since it works on all USB-C compatible devices. I bought the combo (USB-C and Lightning) variant that cost me upwards of Rs.7,000/- as when I purchased this kit, only the USB-C variant wasn't available.Read more"
5.0 out of 5 stars,Best product.,Best for blogging..I’m using it in industry and voice cancellation working fantastic. Loved it.Read more
3.0 out of 5 stars,Good But ...,Mic is Great But It Must Have Clips other wise You Will Lose ItRead more
1.0 out of 5 stars,Transmittors are not Working,I purchased Lark AI.. Both transmittors are not working.. What to do next..?Read more
5.0 out of 5 stars,Sound quality,"The best product you can get, works so good the voice comes crystal clearRead more"
5.0 out of 5 stars,iPhone,Good product and product delivery also proffesionalRead more
5.0 out of 5 stars,Smooth AF,"UI so smooth, as a dove floats on a moonlit tranquil pond...Cameras so sharp, as a Ronin handles his sword...Speakers so thunderous, even the heavens rumble when one booms a chorus.Read more"
5.0 out of 5 stars,Genuine and Fast,"My first iPhone and I couldn’t ask for a better battery life, performance, camera and UI.I have purchased during Republic Day sale and was little anxious about the genuineness’s of the product but the seller lived up to the expectations.Read more"
5.0 out of 5 stars,Genuine product,Best and genuine product . Very fast delivery by amazon . Battery life is better than previous one…Read more
1.0 out of 5 stars,Brand New iPhone 17 Pro Max With Visible Dead Pixel – Replacement Denied Despite Proof,"The media could not be loaded.I purchased a brand new iPhone 17 Pro Max from Amazon, and within days of delivery the device started showing a visible red/dead pixel issue with intermittent flickering. The defect is clearly visible to the naked eye and appears across multiple screens and colors.I immediately followed the correct process and visited an Apple Authorized Service Center. The issue was officially recorded in their service report and even captured on video. However, after keeping the phone for two days, the service center verbally denied the issue and refused to issue a defective certificate, which Amazon requires for replacement.Because of this, I am now running out of my replacement window, despite the product being defective from the beginning. I had to take leave from work, visit the service center multiple times, and still ended up helpless.This is a premium flagship device, and such a defect on a brand new phone is unacceptable. Even more disappointing is how difficult it has been to get a fair replacement after following all official steps.I expected much better quality checks and post-sale support for a product of this price.Buyers beware: Please check your device very carefully immediately after delivery and be prepared for a long struggle if you receive a defective unit.Read more"
5.0 out of 5 stars,Nice,NiceRead more
5.0 out of 5 stars,Great user experience,Great user experience.Read more
5.0 out of 5 stars,Amazing and Fabulous,Amazing and FabulousRead more
5.0 out of 5 stars,"Great Deal, Smooth Delivery & Premium Experience","I recently purchased the iPhone 17 Pro from Amazon, and the overall experience was excellent.The product arrived in perfect condition and performs exactly as expected. The build quality, performance, and camera are all top-notch, and everything was properly sealed and brand new.Delivery was prompt and smooth. Since this wasn’t an open-box delivery, I appreciated that the delivery associate reassured me that if anything turned out to be wrong, support would be available. That added an extra layer of confidence while accepting the package.I also managed to get a very good deal using coupons along with cashback through the ICICI Amazon credit card, which made the purchase even more worthwhile.Overall, a smooth buying experience and completely satisfied with the purchase. Highly recommended.Read more"
5.0 out of 5 stars,"Solid Phone, Solid Performance and premium experience","I recently purchased the iPhone 17 Pro from Amazon, and the overall experience was excellent as always.The product arrived in perfect condition and performs exactly as expected. The build quality, performance, and camera are all top-notch, and everything was properly sealed and brand new.Delivery was prompt and smooth. Since this wasn’t an open-box delivery, I appreciated that the delivery associate reassured me that if anything turned out to be wrong, support would be available. That added an extra layer of confidence while accepting the package.I also managed to get a very good deal using coupons along with cashback through the ICICI Amazon credit card, which made the purchase even more worthwhile.Overall, a smooth buying experience and completely satisfied with the purchase. Highly recommended.Read more"
5.0 out of 5 stars,Premium and class as always.,Very Premium feel. I do understand that apple left titanium body of 16 pro but yes it is an upgrade and if one has 16 pro then may be he should not go for this one but hugely recommend for anyone having 14pro or lower. Feels premium in hand and design is different and may not be to everyone's taste. Blue colour is awesome as I had liked darker colours from Apple. Camera is excellent. I do not want to comment about battery as I do not use this phone for gaming. Amazon also did a good job with respect to delivery and providing offers in Republic Day sale 😀😀.About durability I can only say that my wife is using 13 pro and it still is smooth and no major issues except battery which obviously Apple degrades over years so that you buy a new one.I was hoping to bag a 16 pro but in sale the difference was not huge so went with this one. 👍👍Read more
5.0 out of 5 stars,iPhone 17 pro,"Awesome quality, good battery backup and lovely pictures. A way too improved. Worth the price.Read more"
4.0 out of 5 stars,Performance,First time i have shifted from Android to IOS (iphone). After the usage of 1 month i am writing these lines regarding my iphone experience.It is very nice and classy and an outstanding look in hands .Feel something different on its use.Camera is goodDesign is charming.Battery lasts for a day after heavy use.Really hands feel different touch.I like its design and its performance.Read more
5.0 out of 5 stars,Delivery and item performance is superfine,Perfect to spection our orderRead more
1.0 out of 5 stars,Apple is too expensive fraud,Apple is fooling customers around. I don’t feel any change in my phone between iPhone 15 and iPhone 17 Pro Apple says there is a massive battery increase nothing. Apple is a company who wants to dig out one lakh rupees every year from customers pocket without giving anything extra.Read more
5.0 out of 5 stars,very good,i got 5000 rupees discount from amazon thank you amazonRead more
5.0 out of 5 stars,Very Good Phone,"Very Nice Phone, as I expected, I am using 2 phones now of IQOO Z10X AND Z11X, And I am fully Satisfied with this company of Vivo.Read more"
5.0 out of 5 stars,Good Phone for long battery usage,Good phoneGood battery lifeDecent cameraVery happy with split screen and new origin OS availability in lower price segmentRead more
5.0 out of 5 stars,"Very nice phone!  ,but need to know how it wil perform after hard-core usage","Very nice phone!  ,but need to know how it wil perform after hard-core usageRead more"
5.0 out of 5 stars,Good phone for studying longer,"Bought this phone for my brother .Nice phone , suitable for long hour studyin and usage..Quite a big batteryGood phone for playing freefire ..it doesn't lagLooks wise it's okWill share further review , once I have used this fot sufficent timeRead more"
5.0 out of 5 stars,Nice mobile,Good product 💯Read more
5.0 out of 5 stars,Best Smartphone under 20k in 2026,Wonderful productsRead more
5.0 out of 5 stars,Performance and battery beast,"The experience with this smartphone has been really fantastic. I bought this smartphone for performance and battery and this provides me things beyond my expectation.The Battery last for more than 2 days, while the performance is top notch. Camera in the smartphone is also great. The display quality never felt low which was concerning at the startingOverall top notch performance, top notch battery and a great camera system really make the smartphone value for its price.Read more"
5.0 out of 5 stars,Smooth phone with good battery,I have been playing Freefire on this device. The phone is pretty smooth and the battery lasts for more than 2 days.Read more
5.0 out of 5 stars,"Great performance, best value for money phone, sleek and good battery",Its sleek and great phoneRead more
4.0 out of 5 stars,"Overall you can should buy realme 15x , or u can buy this also but i suggest realme 15x .","First of all, I would like to talk about my Realme Narzo 80 Pro 5G. Overall, it is a very good phone in the 20–22k INR price range. I have been using this phone since 17 August 2025, and today is 28 November 2025—almost 4 months. The gaming performance is very good. The camera quality is also very good in bright environments such as sunlight or outdoors, especially when taking photos of people. Nature photography is also decent. Also sound quality is also good , i'm reading some negative comments , but i want to tell to whomever reading this review , The phone has dual stereo speaker support also , with 300% voice boost .I have the 8 GB RAM + 128 GB storage variant. I strongly suggest buying the 256 GB storage variant because in the 128 GB version, a large portion of the storage is taken by the system—around 30–40 GB. So, you only get about 60–70 GB of usable space, which is quite low for modern usage. Even though the phone is advertised as 128 GB, you don’t actually get the full 128 GB.In terms of performance, I did not face any heating issues. The phone stays cool during normal and even heavy tasks. It only heats slightly while charging, which is completely normal for fast-charging phones. The connectivity is also very good, with strong Wi-Fi and Bluetooth performance. Storage transfer speeds are fast as well, thanks to UFS 3.1 storage.I also appreciate the battery capacity, which is quite good for modern phones (6000 mAh). The battery lasts around 20–21 hours with moderate usage such as YouTube, Instagram Reels, or studying on the PW app. However, I have one issue with the screen. Although the display is very bright, easy to use in sunlight, and has excellent color quality, I would advise avoiding phones with curved displays. If a curved screen breaks after dropping on a cemented road or anywhere else, it is very difficult to find a duplicate replacement screen in the market.Additionally, you cannot expand the memory using an SD card, and there is no audio jack on this phone. On the positive side, the 80W charging is amazing—it charges the phone up to 25% in just 10 minutes and more than 60% in under 30 minutes.Overall, the phone is very good, but I still recommend checking out the Realme 15x. It offers almost the same features and is even better in some aspects because it doesn’t have a curved display. The Realme 15x also comes with 60W SUPERVOOC charging and a massive 7000 mAh battery, which is extremely impressive and lasts even longer.Read more"
5.0 out of 5 stars,Great device at this range,Worth every penny! Camera is surprisingly good. Phone is lightweight and sleek and very comfortable. Buy this if p3 ultra and p4 are costlier.Read more
5.0 out of 5 stars,What a phone,Absolutely amazing mobile. I highly recommend this mobile if you are looking for mid range budget mobile. I don't want to call it is as budget mobile because it delivering premium quality.it will easily match with any flagship mobiles because forget about the configuration just look the performance and display quality it is giving is important then anything else. The display is great and touch is fantastic and battery is very good all day long. I got refreshed by this phone after a long period of redmi note 14 usage which irritated me with lagging experience but this phone given me how much I wasted time with my previous one.The bgmi play really amazing I don't know how much fps it is giving but I felt awesome. No heat issues . You can pick 128gb varient (it will save 2k) only if you are a intelligent storage keeper because now a days everyone using Googleone or other cloud storages. If you are reckless user just go for 256gb. But I only facing one issue with this phone the tampered glass edges are getting dirty scratches easily while taking in and out from my pocket because of curves . But this issue is nothing in front of my previous phone experience.Note : My sincere request is to everyone not to buy redmi phones even top end phone.my previous phone is redmi note 14 5g . I can't say how much the phone irritated me for a long period.there are plenty things to say about this mobile but I can't explain my frustration here.after 1 year of use I exchanged it to 9.5k but I purchased at 22kRead more
5.0 out of 5 stars,Best Smartphone under 20k with amoled display,Amazing phone and fast delivery from Amazon. Thankyou for that one day delivery option. Best phone with amoled display and screen fingerprint sensor. I ordered 8/256gb for 20k. Very lightweight and amazing sound quality with dual speakers. Also good camera quality.Read more
4.0 out of 5 stars,Amazing product,"Amazing battery backup doesn't heat up, nice camera and sound quality.performance is also great according to the price.  Overall a durable and quality product.Read more"
5.0 out of 5 stars,Smooth gaming . overall it's perfect at this price range,Really amazing phone 🤩Read more
4.0 out of 5 stars,Good,The product is good loved it value for moneyRead more
5.0 out of 5 stars,Great device - value for money,Great value for money deviceIt comes across as a great secondary deviceHappy with looks..looks like a premium deviceRead more
4.0 out of 5 stars,Performance,"I don't face any kind of issue in the device good battery, not heating problem , durable , camera is ok ok , overall a good device , smooth, good performance and best in budget.Read more"
5.0 out of 5 stars,Great product....worth of money,Great phone....very handyRead more
5.0 out of 5 stars,Excellent mobile phone iqoo,Wonderful performance mobileRead more
4.0 out of 5 stars,Good for the money,So far good. The camera quality is medium. Otherwise good for the price. Have not had the chance to check the battery life. Weight is good not too heavy.Read more
5.0 out of 5 stars,Good decision under 12 k,In this price range it is very very good deviceRead more
3.0 out of 5 stars,"Great Performance and Battery, But Very Poor Camera.","The phone’s performance is good and the battery backup is also great, but the camera quality is very poor. If you want good photo quality, then buying this phone is not worth it.Read more"
4.0 out of 5 stars,Slow mobile,Good product but works very slow use it only as a 2nd phoneRead more
5.0 out of 5 stars,"Great Deal, Smooth Delivery & Premium Experience","I recently purchased the iPhone 17 Pro from Amazon, and the overall experience was excellent.The product arrived in perfect condition and performs exactly as expected. The build quality, performance, and camera are all top-notch, and everything was properly sealed and brand new.Delivery was prompt and smooth. Since this wasn’t an open-box delivery, I appreciated that the delivery associate reassured me that if anything turned out to be wrong, support would be available. That added an extra layer of confidence while accepting the package.I also managed to get a very good deal using coupons along with cashback through the ICICI Amazon credit card, which made the purchase even more worthwhile.Overall, a smooth buying experience and completely satisfied with the purchase. Highly recommended.Read more"
5.0 out of 5 stars,"Solid Phone, Solid Performance and premium experience","I recently purchased the iPhone 17 Pro from Amazon, and the overall experience was excellent as always.The product arrived in perfect condition and performs exactly as expected. The build quality, performance, and camera are all top-notch, and everything was properly sealed and brand new.Delivery was prompt and smooth. Since this wasn’t an open-box delivery, I appreciated that the delivery associate reassured me that if anything turned out to be wrong, support would be available. That added an extra layer of confidence while accepting the package.I also managed to get a very good deal using coupons along with cashback through the ICICI Amazon credit card, which made the purchase even more worthwhile.Overall, a smooth buying experience and completely satisfied with the purchase. Highly recommended.Read more"
5.0 out of 5 stars,Premium and class as always.,Very Premium feel. I do understand that apple left titanium body of 16 pro but yes it is an upgrade and if one has 16 pro then may be he should not go for this one but hugely recommend for anyone having 14pro or lower. Feels premium in hand and design is different and may not be to everyone's taste. Blue colour is awesome as I had liked darker colours from Apple. Camera is excellent. I do not want to comment about battery as I do not use this phone for gaming. Amazon also did a good job with respect to delivery and providing offers in Republic Day sale 😀😀.About durability I can only say that my wife is using 13 pro and it still is smooth and no major issues except battery which obviously Apple degrades over years so that you buy a new one.I was hoping to bag a 16 pro but in sale the difference was not huge so went with this one. 👍👍Read more
5.0 out of 5 stars,iPhone 17 pro,"Awesome quality, good battery backup and lovely pictures. A way too improved. Worth the price.Read more"
